LATITUDE,LONGITUD
37.88835556,-122.51688333
37.62278611,-122.40073333
37.542975,-122.06410556
37.54911111,-121.919
37.59463889,-121.90868889
37.60444722,-122.06491944
37.39202222,-121.99913611
37.72998333,-122.43001667
37.57881111,-121.981
37.61624444,-121.81376389
36.96864167,-121.41341389
37.79512222,-122.20773333
37.43535278,-121.923125
37.37141944,-121.92686944
38.10665,-122.51035
37.42179167,-121.91484722
37.33245833,-121.84557222
37.49921389,-121.92751667
37.11211389,-121.73671111
37.31318889,-122.28766111
37.70620833,-121.89325556
36.98411944,-121.583925
37.7495,-122.4998
37.78981389,-122.41907222
37.78441667,-122.39359444
37.36216944,-121.995875
37.33768056,-122.01707778
37.69187222,-122.13998889
37.73473056,-122.40636944
37.31309722,-122.17688611
37.78126944,-122.45403889
37.73248333,-122.41440278
37.32978333,-121.86791667
37.48295833,-121.93601389
37.37074444,-121.91287222
37.04497778,-121.26157222
37.66176667,-122.10489444
37.43208889,-121.90637222
37.364975,-122.00766111
37.50781667,-122.24949167
37.73346389,-122.03244444
37.70041944,-122.15188889
37.72171111,-121.68163611
37.64366111,-122.09316111
37.37019444,-121.84310556
37.48773611,-122.207
37.38802778,-121.97608056
37.68711944,-122.13300278
37.44479722,-122.11883611
37.78965,-122.25584167
37.80196111,-122.29788056
37.51571667,-121.92970278
37.67605556,-121.78573611
37.3861,-121.9779
37.48016944,-121.91245
37.371925,-122.25283333
37.4751,-122.20906944
37.7666,-122.24081944
37.1679,-122.36156111
37.31376667,-122.18095
37.31391944,-122.18118056
37.41926389,-122.21798889
37.32400833,-121.89212222
37.29131667,-121.93697778
37.50893333,-121.97608889
37.24184167,-122.00345833
37.27343056,-121.95256944
37.67732222,-122.13343889
37.14125278,-121.60812778
37.444675,-121.9068
37.024325,-121.5617
37.63168333,-122.08763611
37.49238611,-122.22137778
37.69084722,-122.08855
37.71727222,-122.17475278
37.76563333,-122.22950833
37.72303611,-122.43606111
37.975175,-122.49008333
37.36410278,-122.12451667
37.68379722,-122.11351111
37.73724444,-122.21357778
37.97986944,-121.78908889
37.72244722,-122.03724722
37.7938,-122.26430556
37.00473056,-121.58179722
37.67310278,-121.83455278
37.66103333,-122.40353611
37.48218056,-122.15038611
37.78759722,-122.40348333
37.09233333,-121.64061111
37.76483056,-122.41746111
37.32519444,-121.78216667
37.74610278,-122.50277222
37.77408889,-122.49286944
37.27518056,-122.14976389
37.78859722,-122.25118333
37.40003889,-121.99568333
37.66879722,-122.080825
37.07828889,-121.62125556
37.57855556,-122.04823056
37.29846389,-121.94983333
37.31744167,-121.82989722
37.70068611,-122.18936944
37.49419167,-122.29603056
37.55762222,-122.04343056
37.70158056,-121.914175
37.72183889,-121.6784
37.56111667,-121.99498611
37.66581111,-122.46891944
37.60479444,-122.49863333
37.70955833,-122.45052778
37.25066667,-121.91505278
37.20621389,-121.99071111
37.74126944,-121.58073333
36.97399444,-121.55484722
37.71713611,-122.424775
37.30747222,-121.82924444
37.79447778,-122.40481111
38.00658056,-122.6156
37.79741667,-122.41027222
37.24499444,-121.77165278
37.63159722,-122.08151389
37.72335278,-121.646525
37.72975,-122.43330833
37.49535278,-122.45597222
37.69725833,-122.13009722
37.36572222,-121.83875833
37.24171111,-121.76986667
37.78706389,-122.38770833
37.71281111,-122.47145556
38.14278611,-122.56429167
37.69788056,-121.80506944
37.48685556,-122.22113333
37.553225,-122.29362778
37.25546944,-121.95238056
37.33644167,-121.85668333
